_key,title,price,listed_price,link
Apple iPhone 12 mini - 256GB - Chính hãng VN/A,Apple iPhone 12 mini - 256GB - Chính hãng VN/A,22890000,25990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-mini-256gb-chinh-hang-vn-a
Apple iPhone 12 mini - 128GB - Chính hãng VN/A,Apple iPhone 12 mini - 128GB - Chính hãng VN/A,18990000,23990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-mini-128gb-chinh-hang-vn-a
Apple iPhone 12 mini - Chính hãng VN/A,Apple iPhone 12 mini - Chính hãng VN/A,16990000,20990000,https://hoanghamobile.com/dien-thoai-di-dong/apple-iphone-12-mini-64gb-chinh-hang-vn-a
OPPO Reno5 - Chính hãng,OPPO Reno5 - Chính hãng,7450000,8690000,https://hoanghamobile.com/dien-thoai-di-dong/oppo-reno-5-chinh-hang
Xiaomi Mi 10T Pro - 8GB/128GB - Chính Hãng DGW,Xiaomi Mi 10T Pro - 8GB/128GB - Chính Hãng DGW,10250000,11990000,https://hoanghamobile.com/dien-thoai-di-dong/xiaomi-mi-10t-pro-8gb-128gb-chinh-hang-dgw-637466457072032376
Xiaomi Mi 10T Pro - 8GB/256GB - Chính Hãng DGW,Xiaomi Mi 10T Pro - 8GB/256GB - Chính Hãng DGW,11150000,12990000,https://hoanghamobile.com/dien-thoai-di-dong/xiaomi-mi-10t-pro-8gb-256gb-chinh-hang-dgw
Nokia 5.4 - Chính hãng,Nokia 5.4 - Chính hãng,3450000,4990000,https://hoanghamobile.com/dien-thoai-di-dong/nokia-5-4-chinh-hang-637451892839253778
Samsung Galaxy S21 Ultra 128GB 5G - Chính hãng (ĐKH),Samsung Galaxy S21 Ultra 128GB 5G - Chính hãng (ĐKH),21450000,21450000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-s21-Ultra-5G-chinh-hang-DKH-637477663468991446
Samsung Galaxy S21 Ultra 128GB 5G - Chính hãng,Samsung Galaxy S21 Ultra 128GB 5G - Chính hãng,22590000,22590000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-s21-Ultra-5G-chinh-hang
Samsung Galaxy S21 Plus 128 GB 5G - Chính hãng (ĐKH),Samsung Galaxy S21 Plus 128 GB 5G - Chính hãng (ĐKH),16950000,16950000,https://hoanghamobile.com/dien-thoai-di-dong/samsung-galaxy-S21-plus-chinh-hang-DKH-637477656893585918
